"name","position","company","image","bio","venue","day","time","topic","topic_summary"
"Rachel Smith","Global Head of Enterprise Data Governance","McKesson","https://eco-cdn.iqpc.com/eco/images/speakers/APUjvWYa3tywovJCLdAzJEfPoeN9yNncUk9GnHn8.png","Rachel is a high-performing technology executive with more than 20 years of IT leadership experience, including leading large-scale teams, start-up launches, scaled agile adoption, cloud migration and implementation, vendor management and planning, training design and delivery, strategic planning, and sourcing initiatives. She is an enthusiast who possess a commitment for defining practical but powerful strategies for the long-term success of organizations.    She is currently the Vice-President Strategic Execution & Transformation for McKesson Technology’s Transformation Office at McKesson Corporation.  In this role, Rachel has responsibility for driving focus and execution of MT’s enterprise strategy, strategic plans, and technology roadmaps. Her role includes ensuring delivery of technology capabilities that are innovative, reliable, sustainable, and cost-effective. Additionally, she works closely with the C-Suite executive leadership team and Business Unit CIOs to drive decisions about information and technology investments, transformative opportunities, and emerging tools & technologies.    Prior to joining McKesson, Rachel worked at AT&T for 20 years in various leadership and executive roles. She chartered multiple transformation initiatives in AT&T’s Chief Data Office, including outlining the strategy for next generation technology and development of the three-roadmap to move from legacy technology to public cloud infrastructure.  Rachel’s team designed the unified data platform infrastructure to support data analysts and scientists in delivering nearly $1B in return on investments. The outcomes led to new self-service data engineering capabilities and decreased data platform costs (~27M in 2019).  She also led start-activities within AT&T, including the Big Data @ AT&T initiative that launched the efforts to transform AT&T into a data-powered business through advanced analytics, machine learning, and artificial intelligence.    She holds a Master’s in Business Administration from Kennesaw State University and a Bachelor’s in Business Administration from Georgia State University. She is a committed member of Sigma Gamma Rho, Incorporated and serves as the Southwestern Region advisor to the Rhoer Club.  She serves as a Board Member on two non-profits: Family Gateway Service and Kids Matter, International and is passionate about combatting homelessness and helping kids in needs of critical services and programs.    Her hobbies include golf, skiing, and traveling.","Pre-Conference Focus Days (Workshops and Focus Days Running Concurrently. Choose THREE workshops or ONE focus day to attend)","2024-01-29","10:00:00","Panel Discussion: Transforming and Optimizing your Data Strategy as a Vital Step to Implementing Generative AI","Before companies can take significant advantage of Generative AI, they must take a long and hard look at their data strategy, including their data quality, structure and the culture around data. Failure to address these foundational elements will result in missed opportunities for predictive analytics and AI-driven applications. This session will shed a light on how to build a robust data strategy and harness the true potentials of Generative AI.
·       Developing master data strategy across the enterprise to drive quality and standardization
·       Building a Data Centre of Excellence (CoE) for real-time efficiency and intelligence
·       Developing AI applications and predictive analytics capabilities to drive efficiency and growth opportunities"
"Stephan Blasilli","Director, LEAN, Business Process Excellence, Sustainability & Innovation","EDP Renewables","https://eco-cdn.iqpc.com/eco/images/speakers/KS0eUwjdxDvvWn6zbEkFraeK32mxuq9rRqdMDMiu.png","","","","","",""
"Jose Varela","Senior Vice President, Global Service Centers","3M","https://eco-cdn.iqpc.com/eco/images/speakers/5UWuqxMxhqYlQQJ3PeqTd1bPy2slOnOhLRTJLeoJ.png","","","","","",""
"John Standring","Former Executive Vice President, Enterprise Transformation","American Express","https://eco-cdn.iqpc.com/eco/images/speakers/L7pg8rpyHlvYQF5e3M6frF1CMu42hvHJIk0nbG43.png","John heads worldwide operations and business process innovation for financial services companies. Over the course of his career, he made the discipline of enterprise shared services a key asset at American Express (Amex). In doing so, John helped to steer this $55B company through numerous economic cycles; supported growth, removed cost; applied technological innovation; and contributed to record levels of merchant and card member satisfaction. John brings broad intelligence gained from growing organizations and teams in Europe, Asia, and the Americas. He is a leader known for stepping outside the top-floor bubble and rolling up his sleeves to get results.    John was last Executive Vice President, Enterprise Transformation at Amex. In this role, he identified $400M in annualized revenue and OpEx savings in three years and reduced spend by $100M through technology expansions.    Immediately prior, John served as Executive Vice President, Global Business Services, leading strategy and operations across 42 markets for this $600M group. During his tenure, 3,000 employees delivered smooth day-to-day operations for real estate, enterprise automation, supply management, customer fulfillment, internal consulting, and sales enablement. When COVID-19 upended the operating environment and drove an unheard of 80% increase in disputes, John helmed Amex’s return to normality for merchants and card members.     Previously John was Senior Vice President, Global Servicing Network (GSN). There, he spearheaded deployment of robotics process automation for GSN’s $2B cost base and generated $10M annually of benefits to the wider team. John also addressed persistent friction in the merchant experience by digitizing much of the operations, creating well-received customer-facing options, and making the platform available in 22 markets.     In 2010, John helped found the GBS group, a strategic decision that made Amex an early adopter of this enterprise-wide shared services model. He then led the global finance operations as Senior Vice President, Global Financial Operations, Global Business Services Group.     Outside Amex, John chaired the GBS Council at The Conference Board, an industry think tank. His community work includes the WP Carey School of Business at Arizona State University, the nonprofit UMOM New Day Center, and Junior Achievement of Arizona. In 2018, the Phoenix Business Journal named him to a list of Phoenix’s “Most Admired Leaders.”  John holds a Bachelor of Arts degree in Economics from the University of Exeter in Exeter, UK. He is a Certified Public Accountant licensed in Arizona and a Chartered Accountant of England and Wales. He is a fanatical skier, terrible golfer, and travels extensively with his wife, Suzanna.","Main Conference Day Two","2024-01-30","14:35:00","Panel Discussion: Exploring Different Approaches and Governance Models to Scale Up and Maximize the Business Impact of Automation","As companies scaling up their automation efforts, there are different ways to structure and approach automation at scale. This session will bring together a panel of experienced automation leaders to share their approaches to understand the pros and cons.
·       Where does automation sit; IT or Business - and what are the pros and cons?
·       Where do we go from here now that we have got an automation program going? What are the new trends in automation adoption?
·      From pilot to scaled automation: what are the key challenges and how do we overcome them?"
"Kristin Johnson","Chief Transformation Officer","Edward Jones","https://eco-cdn.iqpc.com/eco/images/speakers/Gpy92ZhoTJFHLly7Wds1g77HYQldLCdmhRBspsGI.png","As Chief Transformation Officer, informed by Edward Jones’ purpose and strategies, Kristin Johnson leads significant transition across the firm’s business, operating, and delivery model. She serves on the Enterprise Leadership Team, which is responsible for providing advice and counsel to the managing partner in helping the firm to grow its impact and create value for clients, colleagues and communities today and in the future.    Kristin joined Edward Jones in 1995 as a member of the Internal Audit department and two years later was named the department’s internal audit manager. In 2000, she relocated to the Operations division, where she held leadership roles in several account and trade processing departments.    Kristin was named a principal in 2006 and worked in the firm’s Retirement Services and Client Reporting areas over the next six years. In March 2012, she relocated to the firm’s Service division to lead the Service Optimization business unit until assuming responsibility for BOA Talent Acquisition and Performance in 2013. During her tenure with the BOA area, the role of BOAs evolved to provide even more pro-active contributions to the client experience and became a more integral member of the branch team. Kristin was named the interim co-leader of Human Resources in April 2019 and later served as the firm's chief human resources officer until September 2022.    A native of Belleville, Ill., Kristin graduated from the University of Illinois with a bachelor’s degree in accountancy. She earned a master’s in information management from Webster University and completed Washington University’s executive MBA program.    Kristin is active in several organizations and serves on the boards of the Center of Creative Arts (COCA), Webster University, the St. Louis Fashion Fund and Mercy Hospital St. Louis.","Chief Transformation Officer Summit (Invitation Only)","2024-01-30","14:30:00","Panel Discussion: Inspire and Lead in Times of Constant Change: Developing Leadership Capabilities","“If anything is certain, it is that change is certain.” companies are going through transformation, changes are everywhere and in order to successfully lead change, great leadership is required. What does that mean for the leaders? This session will delve into the role leadership plays in driving successful change forward.
·       What role does leadership play in driving successful change initiatives, and what characteristics or skills should change leaders possess?
·       How can I be inspirational yet authentic when driving change?
·       Removing barriers to change to pave the way for successful change management
·       How to inspire and develop a change ready culture?
Panel Members Include:
Sarang Sista, VP of Transformation and Business Operations,
Resideo
Andreina Martinez Goiri, Senior Vice President, Change Management – Transformation Office,
Marsh
Leila Kagawa, Chief Transformation Officer,
HEMIC
Kristin Johnson, Chief Transformation Officer,
Edward Jones
Anastasia Minor, Chief Transformation Officer,
Entergy"
"Sara Geising-Eggers","Vice President, Head of Global Process & Data Excellence","Olympus","https://eco-cdn.iqpc.com/eco/images/speakers/kphCqUNUZnGYih6h2sp4l5gATtKxIpBAXi53rg5g.png","Since 2020, Sara Geising-Eggers has been at the helm of Olympus Corporation's global Process & Data Excellence practice, spearheading efforts to foster Operational Excellence and propel the digitalization of processes. Prior to this role, she held diverse leadership positions in IT and Shared Services at Henkel AG & CO KGaA, including Global Delivery Manager for IT Services, Head of Global Quality Management, and Head of the Project Management Office at Henkel's largest Shared Services Center location.","Main Conference Day Two","2024-01-30","14:00:00","Inspiring Case Study: Charting a Course for Operational Excellence – Presented by MedTech Leader Olympus and GBTEC","Join us for an inspirational journey as we unveil a captivating case study on the reinvention of Operational Excellence. Discover transformative strategies that demystify methodologies and technologies, fostering accessibility and accelerating day-to-day work. Delve into a new perspective on continuous improvement, explore diverse cultural influences on processes, and uncover the secrets of empowering employees to drive business transformation and embrace change.
Learn how Olympus democratizes methodologies and technologies, fostering a culture of understanding and usability to accelerate and simplify day-to-day work across the organization.
Explore the paradigm shift in continuous improvement, embracing forward-looking thinking to achieve goals that transcend traditional approaches.
Unveil the formula of empowering and enabling employees to take ownership, drive business transformation and create a competitive edge."
"David Pralong","Senior Partner, Transformation Practice","McKinsey","https://eco-cdn.iqpc.com/eco/images/speakers/3lq7TjZqA07t3WjhN1STMhkwfzRCSp4YewLeZDdf.png","David is a Senior Partner in McKinsey’s Charlotte office and a leader in McKinsey’s Transformation practice. He is also the global co-leader of the firm’s Enterprise Agility practice. He has worked with companies around the world and across industries on transformations that improve an organization’s core execution capability, digital culture and capabilities, and adoption of enterprise-wide agility. He has also led numerous independent due diligences of companies seeking to identify their full performance potential in a rapidly changing world. In addition, David has guided companies under pressure from disruptive market forces through complex restructurings and turnarounds.","Chief Transformation Officer Summit (Invitation Only)","2024-01-30","08:50:00","Keynote Panel: Navigating Game-Changing Trends and Disruptive Forces and Integrating them In Your Transformation Strategies","High inflation economy, rising risks in global expansion, breakneck speed of advancements in AI…Transformation officers need to take into consideration many disruptive yet game changing forces into consideration when mapping out their transformation blueprint. No one can predict the future, yet the transformation leaders are challenged to respond to change quicker than others and weave these considerations into their strategy and transformation decision making. This keynote panel will bring together transformation officers from key industries to examine these trends and share insights on how they are responding to them.
·       Examining the key trends impacting your transformation decisions
·       What are the key considerations and steps needed to build these decisions into your transformation strategy?
·       How can you rebuild your target operating model based on the new opportunities and risk factors?
·       Sharing disruptive strategies that have been implemented to drive new business models and breakthrough change"
"Meghan Regalado","Senior Project Coordinator","WellMed","https://eco-cdn.iqpc.com/eco/images/speakers/gZOQxF6JHGdmouetMABhElV8jjBuuKe2R5Iswfpb.png","","Main Conference Day Two","2024-01-30","16:10:00","Learn how WellMed Successfully Leverages Nintex to Boost Process Ownership and Support Process Transformation","Understanding the reasons for switching from Visio to Nintex Process Manager
The impact of applying the right (for your business) process management tool to change people's process perceptions and increase process acceptance
Developing process management governance to accelerate process improvement from the bottom up"
"Ryan Kelley","Chief Information Officer","Par Pacific Holdings","https://eco-cdn.iqpc.com/eco/images/speakers/O9wON48A4JJDUkwHY1axd7kRIpz4qmKof7ncqUyq.png","","Chief Transformation Officer Summit (Invitation Only)","2024-01-30","09:55:00","Panel Discussion: Leading Transformation through M&A and Organizational Changes","Mergers and Acquisitions are often an effective strategy that companies use to drive synergies and competitiveness. However, there are many implementation challenges when driving process and systems integration as well as change and culture management. Join this panel of experienced transformation leaders who have been there and done that, as they share their approaches to getting those critical decisions right.
·       Creating a M&A handbook to provide a comprehensive framework and drive synergy through integration
·       Driving change and culture as key success factors for integration
·       Supporting and managing employee experience during the M&A process"
"Leila Kagawa","Chief Transformation Officer","HEMIC","https://eco-cdn.iqpc.com/eco/images/speakers/j0iL4yQ2PqNxmI7ugpuB81kUaSh0GyAesj4sOfon.png","Leila Kagawa has worked in the enterprise program management space for the last 10 years. She is the Chief Transformation Officer at Hawaii Employers’ Mutual Insurance Company (HEMIC) where she launched the program management office and coordinates initiatives supporting workers’ compensation and life and health insurance lines for the HEMIC family of companies. Previously she worked at the State of Hawaii’s Office of Enterprise Technology Services directing large-scale modernization initiatives and implementing statewide enterprise governance. Leila also served in various capacities in human resources administration, most recently as the deputy director of the State of Hawaii’s Department of Human Resources Development, which has provided her the knowledge and experience to implement organizational change management strategies.","Pre-Conference Focus Days (Workshops and Focus Days Running Concurrently. Choose THREE workshops or ONE focus day to attend)","2024-01-29","12:20:00","Panel Discussion: Building Authenticity for Your Personal Brand, Influence and Relationship Development","·       Building a strong personal brand and cultivating executive presence
·       Sharing practical tips and strategies for effective communication and influencing others
·       Get comfortable being uncomfortable: navigating difficult situations and having tough conversations"
"Todd Williams","Director Agile Transformation","Wesco Distribution","https://eco-cdn.iqpc.com/eco/images/speakers/2fY9pmMnL0ZyBwhhQTE8bkwThS2BdBV5lzTQBVyw.png","With over 15 years of experience in leading complex, high-value enterprise programs and Agile transformations, I am a strategic thought leader utilizing Business Agility , Value Optimization and growing others. Currently, I am the Director Agile Practice and Chief Product Owner for the Enterprise Data Office at WESCO Distribution, a leading provider of electrical, industrial, and communications products and services. In this role, I am responsible for leading WESCO's Agile Transformation and the Product Owner Cycle, supporting Agile teams and leaders across the enterprise to organize around business value and customer needs. I also manage and coach a team of Agile Coaches and Scrum Masters, and act as a thought leader in the Product Innovation and Customer Discovery cycle. My mission is to help WESCO leverage Agile principles and practices to deliver data-driven solutions that enable revenue and profit growth, as well as operational efficiency and quality. Additionally, I’m the Chief Advisor for Tru Agility Advisory firm delivering Lean Agile & Scaled Agile Framework (SAFe) Transformations, Training and Coaching. I have built my reputation by working effectively across the enterprise as an advisor, program manager, operations manager, and individual contributor leading enterprise initiatives enabling revenue and profit growth, as well as overall enterprise efficiency. I have a Master of Science in Computer Engineering from DePaul University; SAFe Practice Consultant 6 (SPC5), PMP, Certified Scrum Professional and is a Lean Six Sigma Black Belt. I am also featured in the Pamela Meyers book “ The Agility Shift” , Key Panelist for the Scrum Alliance Diversity, Inclusion and Equitable roundtable and Bank of America Keynote guest speaker for Girls who Code.","Main Conference Day Two","2024-01-30","11:10:00","IDG J: You Can’t Manage It If You Can’t Measure It. How To Measure Your Transformation Effectiveness",""
"Maureen Terralheiro","Vice President, Back Office Operations","A. Farber & Partners","https://eco-cdn.iqpc.com/eco/images/speakers/kHli48EA6Zvm7g3iKewVJhd3t83RsPlfLvb9wKkT.png","Maureen Terralheiro is a 15+ year Business Transformation, Strategy, Project Delivery executive specializing in Lean, Six Sigma, Continuous Improvement and business transformation.  Starting her career in the Canadian Banking sector, she quickly progressed into project, program and process management.  She found a passion for operational excellence and continuous improvement while rolling out programs and strategies to increase customer and employee satisfaction, all while increasing efficiencies and reducing bottom line costs.","Pre-Conference Focus Days (Workshops and Focus Days Running Concurrently. Choose THREE workshops or ONE focus day to attend)","2024-01-29","12:20:00","Panel Discussion: Building Authenticity for Your Personal Brand, Influence and Relationship Development","·       Building a strong personal brand and cultivating executive presence
·       Sharing practical tips and strategies for effective communication and influencing others
·       Get comfortable being uncomfortable: navigating difficult situations and having tough conversations"
"Jon Miciano","Senior Innovation Engineer","SS&C Blue Prism","https://eco-cdn.iqpc.com/eco/images/speakers/8aILL194MpbEMYAToj4HA3gNnCQKqvOdP3bvmNpd.png","Jon Miciano is a Senior Innovation Engineer for SS&C Blue Prism. He has over twenty-seven years of experience with Intelligent Automation, most recently focused on product implementation and development of the SS&C platform for use by Fortune 500 companies within the Wealth and Healthcare space.  In his current role, Jon is responsible for leading Intelligent Automation engagements related to product sales and marketing activities. He joined SS&C in November 2008 and holds an M.B.A. from Baker University and a Bachelor of Science degree from the University of Missouri-Columbia.","Main Conference Day Two","2024-01-30","11:10:00","IDG H: Combining Process Improvement Methodologies with Technology Tools for the Next Generation of Process Transformation",""
"Danielle LaMancuso","VP, Process Improvement and Organizational Change Manager","Northwest Bank","https://eco-cdn.iqpc.com/eco/images/speakers/a954KTyC7X45UTWSSCZvUQbm8SV6RjQeLxKJ9sIs.png","My role is VP, Process Improvement & Organizational Change Manager for Northwest Bank where I have worked for 8 years in the Enterprise Project Management Office.  As an ASQ Certified Six Sigma Black Belt, I deliver our in-house yellow belt program called iThinkLean as well as lead large scale process improvement projects. I am passionate about increasing efficiency and effectiveness at the bank. As an Organizational Change Management professional, I manage the Change Management initiatives for enterprise projects with the goal of effecting, controlling and helping the bank adapt to change.  I also serve as co-leader of our Lead for Women ERG since its inception in 2022.  It has been extremely rewarding to offer support, networking and professional development opportunities for our members over the past year.","Main Conference Day Two","2024-01-30","11:10:00","IDG R: How Can Process Improvement Professionals Upgrade Their Skillsets Quickly for The New Reality of Digital Transformation?",""
"Hemant Purkar","Product Executive, Chase Auto Finance","JP Morgan Chase","https://eco-cdn.iqpc.com/eco/images/speakers/qxaJfoO9ELmJiAAS2rIbo5i6qT6ui5eN2xJgQDqm.png","Hemant Purkar is an executive product leader for consumer lending products in chase auto finance. In this role he leads multiple customer journeys related to shopping or financing a car and is accountable for an end to end digital originations product led business growth. He has over 24 years of balanced career rendering various leadership roles across technology,  business and management consulting executing turn key transformations, leading operational excellence CoEs, building market leading products and responding to disruptions leveraging innovations. Simply put, a change agent capable of affecting change at scale in global organizations with strong leadership skills, business & technical acumen and systems thinking.","Chief Transformation Officer Summit (Invitation Only)","2024-01-30","11:55:00","Fireside Chat: Shifting from Legacy Organizational Structure to A Product-Led Organization","To drive greater level of customer centricity, organizations are making fundamental shifts to their structure and way of working. Moving towards a product led organization requires new structures that allow companies to be customer obsessed and deliver personalized experiences across all end-to-end customer journeys. Join this fireside chat to learn how legacy organizations can make these paradigm shifts successfully:
·      How can a legacy firm disrupt itself by adapting to a completely new business model? Where do you start?
·      Leveraging business transformation as a tool to transform a legacy organization to a product organization
·      How do we adopt a product owner mindset?
·      What are the key lessons learned in driving change at such a scale?"
"David Friedman","Director, Intelligent Automation CoE","Ryder System","https://eco-cdn.iqpc.com/eco/images/speakers/Ja5Nof0GBbD0PfE7hhMjBBsGwYXSobcXeVmpj9Hv.png","David Friedman is a 25 year veteran of it
management, continuous improvement efforts, and product ownership. After
earning his MBA at the University of Southern California, he delivered numerous
multi-million-dollar cost saving initiatives for American Express, as well as
leading large-scale product evolutions in workforce management, multi-market
global customer servicing tools, and enterprise case management.  His
experience in using agile / scrum delivery methodology to combine end user
teams business tools with it development efforts naturally led to his
appointment as RPA lead for American Express back-office and new accounts
processing divisions.  The American Express COE, combined with federated
teams across the globe, delivered over $30MM in cumulative savings and revenue
generation using process redesign and RPA.  In 2018, David joined Ryder
System to establish their internal RPA capability, establishing. COE and
governance across IT and operations groups.  The Ryder team has identified
opportunities across all major departments of the company, and delivered 40
process automations centrally, with over 200 launched by federated RPA teams
across the Enterprise.  David is most interested in using RPA as a key
intermediate step toward fully digitizing legacy operations.  Optimizing
and automating internal front-office and back-office processes is a necessary
first step to building digital self-service and proactive-servicing
capabilities.  Outside of work, David does research on the long-term
macroeconomic impacts of the digitization and automation on middle income and
middle skilled workers in modern economies","Pre-Conference Focus Days (Workshops and Focus Days Running Concurrently. Choose THREE workshops or ONE focus day to attend)","2024-01-29","11:40:00","Panel Discussion: Supercharging your Traditional Automation Efforts with Generative AI","Many comment that Intelligent Automation is Lean Six Sigma on steroids. Would Generative AI put Intelligent Automation on steroids? How will Generative AI augment traditional automation? This session will answer some of the key questions, including:
·       From process discovery to process mining to RPA: can Generative AI fill in the gaps?
·       Augmenting Human-AI collaboration to harness the power of AI and leave your workforce to focus on higher value activities and processes
·       Will Generative AI eventually go beyond rule-based RPA with greater intelligence and problem-solving capabilities?"
"Dr Charles Brandon","Director, Process Improvement Program Office at HQDA","US Army","https://eco-cdn.iqpc.com/eco/images/speakers/vwTP658gn2vtvT2wjWQW5a5G1QEi3HwhetMciNLm.png","","Main Conference Day Three & Post-Conference Masterclasses","2024-01-31","08:45:00","OPEX WEEK Day Three: Chair's Opening",""
"Alexander Breskvar","Corp. VP QM&EHS Operations","Siemens Gamesa Renewable Energy","https://eco-cdn.iqpc.com/eco/images/speakers/l62g00KZiHMumdQUuc5N8iOsj93w8EHkCmJZtGIM.png","Quality and Operations Professional with more than 25 years’ experience turning around organizations to improve and ensure quality and enhance safety through Lean and Continuous Improvement techniques. Alexander was able to gain his experience in different countries and region serving a variety of industries like marine, oil & gas, mining, passenger transport. The last ten years Alexander is committed to bring green energy to the society working for one of the main renewable energy companies. Alexander is dedicated to creating successful operational company cultures and establishing cross-functional teams to achieve and surpass organizational goals.","Main Conference Day Two","2024-01-30","19:00:00","The 25th Global OPEX & Business Transformation Awards Ceremony & Party (Open to all conference attendees)","As you step back into the plenary conference room, you'll be greeted by a dazzling transformation that reflects the true spirits for a glamorous and illustrious celebration, setting the stage for the grandeur of the 25th Global OPEX & Business Transformation Awards Ceremony. For years, these distinguished awards have been a beacon of recognition, celebrating exceptional leaders, projects, and teams that have been at the forefront of driving transformative results. Tonight, we come together once again, with the support of our esteemed sponsors, judges and board members, in a magnificent display of style and elegance to honor these visionary trailblazers.
After the awards ceremony, all of you are invited to join us at the Awards Party to not only celebrate with those just won the awards, but also to toast to the great community we have built for the past quarter of a century. A perfect opportunity to be immersed with colleagues, peers and the other fellow attendees for connection and networking. Enjoy this very special night of brilliance, recognition and celebration!
You’ll be finding out who’s the best of the best for this year.
There’s still time to apply, write to us at
opexawards@iqpc.co.uk"
"Paul Krebs","Chief Transformation Officer","Koch Industries","https://eco-cdn.iqpc.com/eco/images/speakers/gb314I7dWtprhnP8b6Y75YC0vKbDVZ3fRPlZ68CH.png","Paul Krebs leads the Koch Industries Information Technology and Business Transformation capabilities. Mr. Krebs joined Koch in 2018 as Chief Transformation Officer and assumed the role of Chief Information Officer in 2020. As CIO and CTO, he partners across the Koch businesses to align on key IT and digital transformation strategies, to accelerate the delivery of strategic transformation programs, and to leverage Koch scale where appropriate for IT service delivery. He also sits on the board of Infor, a $3B enterprise cloud software provider, and Koch subsidiary.","Pre-Conference Workshops, Focus Days & Main Conference Day One","2024-01-29","16:30:00","The All-Star Panel: The Time Is Now - The Paradigm Shift from Business Transformation to Business Reinvention & Unlocking the New Growth Frontier","Most business transformations take place in one part of the business and deliver marginal gains on efficiency. However, that will no longer be sufficient for the future transformation landscape. Businesses are required to self-disrupt, reinvent existing business models and embrace paradigm shifts, not only to drive cost benefits, but also to deliver a step change and unlock new growth opportunities. In this thought-provoking all-star session, we have invited the leaders who are driving beyond business transformation to delve into the new possibilities of business reinvention.
·       The time is now: examining the new imperatives for business reinvention
·       What does it take to build self-disruptive customer-centric reinvention strategies?
·       Building a connected and interoperable digital core to leverage the unleash the power of data and AI"
"Beth Johnson","Director, Head of Credit Card Operations for Consumer Finance","Goldman Sachs","https://eco-cdn.iqpc.com/eco/images/speakers/YIguESDhdrNIXM2sS2T0pvy9B1FvrXFntTRV5Srf.png","Beth oversees the Customer Service and Support organization for Enterprise Partnerships at Goldman Sachs. She is responsible for the servicing of Apple Card, Apple Savings, and GM Card customers. Beth has been with Goldman Sachs since 2016, and has held a variety of roles in their Consumer business. She has worked in Consumer Finance for 20 years, and is passionate about helping customers understand how banking works, and how they can work with banks to effectively manage their finances. She has a Lean Six Sigma Master Black Belt and a Bachelor’s Degree in Asian Studies from Utah State University.","","","","",""
"Ian Nicholls","CEO","explic8","https://eco-cdn.iqpc.com/eco/images/speakers/S5bxFwBONwT6xnEU6l56d7ugVSFPs6kbHa4w6mgp.png","Ian graduated from University College, London, with an honours degree in Biochemistry and spent the early years of his career in senior management positions in the food industry with companies such as RHM, Mars, a Danish meat company where he was Operations Director and ABF as a CEO, delivering year-on-year profitable growth through sales development and operational performance improvement before moving into consultancy.  Ian has also worked as Group Operations Director for a pan-European group of 12 companies where he turned the largest label printing site in Europe into a profit after three years of losses and for a Legal, Educational and Confidential printing, publishing, multi-media and fulfilment group of companies where he delivered record profits for three consecutive years.    He is a manufacturing professional practiced in modern manufacturing principles (such as Lean Manufacturing and Six-Sigma tools and techniques) and has created innovative improvement cultures where employees are engaged, change is embedded and significant business outcomes (such as eliminating waste, achieving right first time quality, driving up customer service and improving plant efficiency) are delivered.    Ian is also an internationally published, best-selling author and lecturer, having written numerous newspaper and magazine articles, white papers and four books, three of which are about Quality Management Systems. Ian's other book is a Supervisory Management Training Manual which has been translated into 9 languages and is on sale in 13 countries.","Pre-Conference Workshops, Focus Days & Main Conference Day One","2024-01-29","11:40:00","C1: A Business Transformation Simulation Game","This highly engaging and dynamic workshop will address transformation challenges and best practice by having fun! Starting with a simulation game, you will learn about the essentials of what it takes to drive flow and develop best practice OPEX methods. The hands-on session is also designed in such a way to ensure that that you will walk away with key insights on practical steps to tackle transformation scenarios and visual transitions.
Fast moving challenge using “Sticklebricks” as a medium
Simulates transition from traditional manufacturing to fast flow cell
Touches best practice methods to move to OPEX
Focuses on the importance of Quality first
Set-up in a competitive teams scenario
Hands-on demonstrable and visual transition"
"Greg Pollack","Global Leader, Intelligent Automation","IBM","https://eco-cdn.iqpc.com/eco/images/speakers/Ti22EFNmj7x8stX9SFaYF4Qfm2ODTjOFQLmzLdTe.png","Greg Pollack is the Business Unit Executive for IBM’s Business Automation software business across the Americas.  In this role, Greg helps our clients automate work, accelerate business growth and free up their employees for higher value work.  Greg’s organization is focused on enabling businesses to streamline processes, achieve digital transformation, increase service quality and reducing operational costs.     Prior to taking the leadership position for Business Automation, Greg served as the sales leader for IBM’s two acquisitions, both RPA (WDG Automation) and Process Mining (myInvenio).  Greg has also held leadership roles as the client leader in the Financial Services Market, Worldwide Sales Executive for IBM’s Automation as a Service platform, US Federal Brand leader for its Software as a Service business and US Federal Rational/DevOps software sales operations.","Pre-Conference Workshops, Focus Days & Main Conference Day One","2024-01-29","14:50:00","KEYNOTE: AI Assistants: Generative AI for Productivity, from Employee Experience and Customer Care to Code Modernization","Today 66% of CEOs say they face significant pressure to accelerate adoption of generative AI. However, there is a great deal of confusion about where and how generative AI will drive the greatest value for the enterprise. ​Explore how generative AI is creating value for IBM clients today through three critical use cases: customer care, hiring and people-management, and application modernization and coding development. Join Greg Pollack, Americas Business Automation Leader, IBM, along with Angela Hood, CEO, ThisWay Global and Cas Turback, VP of Technology Strategy, Randstad, to discuss a practical approach to applying generative AI and real use cases deployed today by IBM clients."
"Janice Durant","Director, Continuous Improvement and Project Management","Newell Brands","https://eco-cdn.iqpc.com/eco/images/speakers/x6T2qE59wDLMYYhxltW4DAkHNJU9fRUjBBbZitmZ.png","Since joining Newell in 2021 as a consultant and as an employee in 2022, she has helped successfully lead organizational transformational projects and introduced Six Sigma to the Global Business Services organization.  Prior to Newell Brands, she has served as a consultant and held various finance leadership roles for notable companies such as Coca-Cola, Kimberly-Clark, Westrock, Steelcase, and Acuity Brands, leading Finance organizations through strategic transformation and organizational challenges. Janice is a Six Sigma blackbelt and has a breadth and depth of experience in Finance and Executive leadership, continuous improvement, and project management.    Janice lives in Atlanta, GA with her two children and four pets.","Main Conference Day Two","2024-01-30","14:35:00","Panel Discussion: Building a Transformational Mindset to Drive Deep Change - Personal Experiences and Stories Sharing","Transformation doesn’t simply happen on its own. It requires a shift in mindset and that means to install a willingness to challenge and change long-held beliefs about structure and process. This panel brings together an elite group of transformation leaders to share their personal experiences and stories on what it takes to build that mindset, with real-life transformation scenarios:
·       Changing the way leaders think as one key step to redefining organizational culture
·       How to inspire and motivate the employees to challenge their existing beliefs
·       The ‘that has/hasn’t worked for me’ moment: Sharing personal experiences and stories"
